43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-0.002708+5.114e-05i	3.741-0.4829i	11.4+6.055i	15.25+5.718i
-0.002309+2.603e-05i	0.1549-0.3898i	90.07-5.679i	90.02-5.471i
-0.003372+7.563e-06i	0.0771-0.3025i	89.22-0.08014i	89.12-0.00502i
-0.002952-8.709e-05i	1.302-0.8189i	93.31-64.26i	89.97-62.51i
-0.002875+6.402e-05i	2.012-0.898i	85.38+0.5633i	84.44-0.06496i
-0.002973+9.448e-05i	0.6299+0.4788i	80.82-1.09i	81.19-0.692i
-0.003035-1.067e-05i	0.0413-0.2718i	89.37-9.055i	89.5-8.958i
-0.003321+4.314e-05i	0.3079-0.3893i	90.09+11.58i	89.99+11.94i
-0.04291+5.278e-06i	0.5227+0.7769i	89.08+9.049i	88.76+7.091i
-0.04225-3.903e-06i	0.06195+1.18i	7.251-44.95i	6.37-41.99i
-0.04173+4.193e-05i	0.6308-0.05177i	89.46+14.69i	89.95+13.92i
-0.04169-3.612e-05i	0.04375-0.7569i	88.29+25.79i	89.98+27.37i
-0.04089+1.105e-05i	5.007+2.03i	1.227+83.11i	9.829+93.29i
-0.04003+7.513e-06i	7.608+8.456i	13.9+192.7i	6.247+230i
-0.03891+0.0009874i	16.26-29.72i	113.9-3.844i	125.4-0.3757i
-0.03885-0.0009169i	0.3713-0.9579i	88.52-2.827i	90.01-2.851i
-0.03829+1.1e-05i	20.88+2.976i	113.3+1.092i	88.07+8.785i
-0.03896-1.838e-07i	4.321-10.67i	178.5+8.736i	178.9+6.844i
-0.03857-3.128e-06i	0.5015+0.4072i	91.48+22.66i	89.84+22.39i
-0.03884+2.661e-06i	1.14+0.007626i	163+1.551i	166.2+0.3015i
-0.00358+3.514e-05i	2.613+1.457i	6.222+33.14i	0.1094-34.74i
