43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
-0.22735+0.0056204i,-0.22738+0.0055494i,-0.22741+0.0054793i,-0.22744+0.0054102i,-0.22747+0.0053421i
-0.22613-0.0055133i,-0.22615-0.005436i,-0.22617-0.0053594i,-0.22619-0.0052835i,-0.22621-0.0052085i
-0.22862+2.1604e-06i,-0.22853+2.1777e-06i,-0.22843+2.1878e-06i,-0.22833+2.1916e-06i,-0.22824+2.1901e-06i
-0.22563-0.0002408i,-0.22562-0.00024742i,-0.2256-0.00025428i,-0.22558-0.00026137i,-0.22556-0.00026869i
-0.21874-0.00013421i,-0.00039334+6.9509e-07i,-0.21871-0.00011197i,-0.22012-0.00018522i,-0.22016-0.00018684i
-0.2188+5.0745e-05i,4.008e-05+7.3613e-07i,-0.21888+2.8864e-05i,-0.21893+2.037e-05i,-0.21898+1.5482e-05i
-0.21996-0.00017968i,0.00014086+1.6297e-06i,-0.22007-0.00018349i,-0.21869-0.00010342i,-0.21867-9.8538e-05i
-0.21245+1.5865e-06i,-0.22001-0.00018164i,-0.0013027+3.3595e-06i,-0.2123+1.4934e-06i,-0.00038522+6.9159e-07i
-0.0010978+8.1154e-06i,-0.21884+4.1069e-05i,3.7951e-05+7.3202e-07i,-0.21124+1.7293e-06i,0.00014129+1.6442e-06i
-0.00063216+1.4071e-06i,-0.21873-0.00012431i,0.00014101+1.6345e-06i,-0.2051+3.1639e-05i,3.3744e-05+7.2361e-07i
0.00014072+1.6248e-06i,-0.2124+1.5534e-06i,-0.21235+1.5224e-06i,-0.20382+1.3177e-05i,-0.00061794+1.2561e-06i
4.2222e-05+7.4017e-07i,-0.21109+1.7453e-06i,-0.21116+1.7367e-06i,-0.20351-4.8444e-06i,-0.21225+1.4659e-06i
-0.21101+1.7553e-06i,-0.20506+3.2002e-05i,-0.20508+3.1792e-05i,-0.20169+2.9957e-06i,-0.21131+1.7234e-06i
-0.20504+3.2323e-05i,-0.20414+8.3191e-06i,-0.204+9.3594e-06i,-0.20103+1.7665e-06i,-0.20512+3.1519e-05i
-0.20428+7.6318e-06i,-0.2033-3.5894e-07i,-0.20338-1.1846e-06i,-0.0010245-2.8963e-06i,-0.20365+0.00019817i
-0.20325+4.9654e-09i,-0.20178+2.954e-06i,-0.20174+2.9759e-06i,0.00014115+1.6394e-06i,-0.20364-0.00018971i
-0.20183+2.9297e-06i,-0.20102+1.8692e-06i,-0.20103+1.819e-06i,3.5838e-05+7.2784e-07i,-0.20165+3.0135e-06i
-0.20101+1.9156e-06i,-0.19613+3.9108e-06i,-0.19607+3.9621e-06i,-0.00038783+6.9282e-07i,-0.20103+1.713e-06i
-0.1962+3.8584e-06i,-0.19177+9.2273e-06i,-0.19171+1.7752e-05i,-0.19601+4.0123e-06i,-0.19595+4.0613e-06i
-0.19183+6.9622e-06i,-0.1917-1.1452e-05i,-0.19167-1.9982e-05i,-0.19165+3.2785e-05i,-0.19161+4.3497e-05i
-0.19174-9.182e-06i,-0.18862-5.5316e-06i,-0.18864-5.5185e-06i,-0.19164-3.5021e-05i,-0.1916-4.5742e-05i
-0.1886-5.5405e-06i,-0.1878-4.4896e-05i,-0.1878-0.0002913i,-0.18867-5.5021e-06i,-0.18869-5.4828e-06i
-0.1881+3.3582e-07i,-0.1878+4.6145e-05i,-0.1878+0.00029213i,-0.1878+0.00039868i,-0.18779+0.00047278i
-0.1875+1.9824e-06i,-0.18737+1.8631e-05i,-0.18736+1.9218e-05i,-0.1878-0.00039809i,-0.18779-0.00047234i
-0.18737+1.7431e-05i,-0.18669+2.4812e-06i,-0.18679+2.3882e-06i,-0.18736+1.9691e-05i,-0.18735+2.0255e-05i
-0.1866+2.5304e-06i,-0.18319+4.8409e-07i,-0.18315+5.0217e-07i,-0.18688+2.2135e-06i,-0.18697+1.8619e-06i
-0.18323+4.7226e-07i,-0.18308+2.5206e-06i,-0.18307+2.5271e-06i,-0.18311+5.4577e-07i,-0.18308+7.0403e-07i
-0.1831+2.5148e-06i,-0.18196-4.8925e-07i,-0.18193-8.5857e-07i,-0.18305+2.5136e-06i,-0.18304+2.3898e-06i
-0.182-1.4796e-07i,-0.18053-3.423e-05i,-0.18054-2.9588e-05i,-0.1819-1.2551e-06i,-0.18187-1.678e-06i
-0.18051-4.0411e-05i,-0.18045+1.5305e-05i,-0.18045+1.1273e-05i,-0.18056-2.6257e-05i,-0.18057-2.3782e-05i
-0.18045+2.0892e-05i,-0.17695-1.0074e-05i,-0.16331+0.0017092i,-0.18045+8.565e-06i,-0.18044+6.7286e-06i
-0.16641+7.2031e-07i,-0.17559+6.2611e-07i,-0.16331-0.0017116i,-0.17689-1.2151e-05i,-0.1632-0.0017752i
-0.16342+0.0016321i,-0.17665+1.863e-07i,-0.16181-1.4091e-05i,-0.17653+1.8741e-07i,-0.16319+0.0017724i
-0.16342-0.0016341i,-0.17634-1.0885e-05i,-0.16208+1.3061e-06i,-0.17628-9.0341e-06i,-0.16222+4.6462e-06i
-0.16173-8.8413e-06i,-0.001097+8.4962e-06i,-0.16653+7.1159e-07i,-0.1757+6.0074e-07i,-0.16188-1.6575e-05i
-0.16196-4.7671e-06i,-0.00062854+1.3676e-06i,-0.16843-6.1436e-06i,-0.17224+6.1724e-06i,-0.16664+7.067e-07i
-0.16833-6.2886e-06i,-0.17424-2.5904e-05i,-0.17227+6.1562e-06i,-0.17427-2.6274e-05i,-0.16852-6.0116e-06i
-0.17699-9.0338e-06i,-0.17383+1.7638e-07i,-0.17692-1.1122e-05i,-0.1737+2.0651e-07i,-0.17687-1.3136e-05i
-0.17672+1.859e-07i,-0.17375+1.5166e-07i,-0.17659+1.8681e-07i,-0.17363+1.3955e-07i,-0.17647+1.8803e-07i
-0.17636-1.1806e-05i,-0.17231+6.1388e-06i,-0.17631-9.9525e-06i,-0.16847-6.076e-06i,-0.17625-8.152e-06i
-0.17235+6.1201e-06i,-0.16838-6.2144e-06i,-0.17565+6.1523e-07i,-0.16659+7.0885e-07i,-0.17575+5.8017e-07i
-0.17554+6.3476e-07i,-0.16647+7.1524e-07i,-0.17426-2.6097e-05i,-0.15141+1.477e-06i,-0.17221+6.1874e-06i
-0.17423-2.5682e-05i,-0.16337-0.0016749i,-0.17369+1.48e-07i,-0.16325+0.0017422i,-0.17429-2.6439e-05i
